taxonNameID,scientificName,acceptedTaxonNameID,acceptedTaxonName,higherTaxonNameID,higherTaxonName,basionymID,basionym,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,nomenclaturalCode,namePublicationID,namePublishedIn,taxonomicStatus,nomenclaturalStatus,taxonRemarks,taxonConceptID,taxonAccordingTo
,"Reticularia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. X: 584","","","",,""
,"pyrrhospora",,"",,"",,"Reticularia pyrrhospora","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. X: 584","","","",,""
,"Reticularia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 659","","","",,""
,"pyrrhospora",,"",,"",,"Reticularia pyrrhospora","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 659","","","",,""
,"Reticularia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XV: 319","","","",,""
,"pyrrhospora",,"",,"",,"Reticularia pyrrhospora","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XV: 319","","","",,""
,"Sphaerella",,"",,"",,"","","","","","","","","","","Genus","Ellis & Everh.","",,"Index Fungorum","","","",,""
,"thalictri",,"",,"",,"Sphaerella thalictri","","","","","","","","","","Species","Ellis & Everh.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Sphaerella",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. addit. vol. I-IV: 76","","","",,""
,"thalictri",,"",,"",,"Sphaerella thalictri","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. addit. vol. I-IV: 76","","","",,""
,"Sphaerella",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. IX: 612","","","",,""
,"thalictri",,"",,"",,"Sphaerella thalictri","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. IX: 612","","","",,""
,"Sphaerella",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 722","","","",,""
,"thalictri",,"",,"",,"Sphaerella thalictri","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 722","","","",,""
,"Sphaeria",,"",,"",,"","","","","","","","","","","Genus","M.{?} & Fr.","",,"Index Fungorum","","","",,""
,"granati",,"",,"",,"Sphaeria granati","","","","","","","","","","Species","M.{?} & Fr.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Sphaeria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. II: 415","","","",,""
,"granati",,"",,"",,"Sphaeria granati","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. II: 415","","","",,""
,"Sphaeria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 727","","","",,""
,"granati",,"",,"",,"Sphaeria granati","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 727","","","",,""
,"Valsa",,"",,"",,"","","","","","","","","","","Genus","Cooke & Ellis","",,"Index Fungorum","","","",,""
,"inconspicua",,"",,"",,"Valsa inconspicua","","","","","","","","","","Species","Cooke & Ellis","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Valsa",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. II: 233","","","",,""
,"inconspicua",,"",,"",,"Valsa inconspicua","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. II: 233","","","",,""
,"Valsa",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XV: 446","","","",,""
,"inconspicua",,"",,"",,"Valsa inconspicua","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XV: 446","","","",,""
,"Cercospora",,"",,"",,"","","","","","","","","","","Genus","Ellis & Dearn.","",,"Proc. & Trans. Roy. Soc. Canada, Ser. 3.: 1 (1899)","","","",,""
,"epigaea",,"",,"",,"Cercospora epigaea","","","","","","","","","","Species","Ellis & Dearn.","ICBN",,"Proc. & Trans. Roy. Soc. Canada, Ser. 3.: 1 (1899)","","Assumed Valid","",,""
,"Cercospora",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XVI: 1071","","","",,""
,"epigaea",,"",,"",,"Cercospora epigaea","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XVI: 1071","","","",,""
,"Cercospora",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XIX: 252","","","",,""
,"epigaea",,"",,"",,"Cercospora epigaea","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XIX: 252","","","",,""
,"Ciboria",,"",,"",,"","","","","","","","","","","Genus","Kirschst.","",,"Index Fungorum","","","",,""
,"acicola",,"",,"",,"Ciboria acicola","","","","","","","","","","Species","Kirschst.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Ciboria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXII: 646","","","",,""
,"acicola",,"",,"",,"Ciboria acicola","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXII: 646","","","",,""
,"Cryptodiscus",,"",,"",,"","","","","","","","","","","Genus","Höhn.","",,"Index Fungorum","","","",,""
,"volvatus",,"",,"",,"Cryptodiscus volvatus","","","","","","","","","","Species","Höhn.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Cryptodiscus",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXII: 735","","","",,""
,"volvatus",,"",,"",,"Cryptodiscus volvatus","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXII: 735","","","",,""
,"Disciseda",,"",,"",,"","","","","","","","","","","Genus","R.E. Fr.","",,"Arkiv för Botanik,  8(no. 11): 15 [extr.] (1909)","","","",,""
,"pila",,"",,"",,"Disciseda pila","","","","","","","","","","Species","R.E. Fr.","ICBN",,"Arkiv för Botanik,  8(no. 11): 15 [extr.] (1909)","","Assumed Valid","",,""
,"Disciseda",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXI: 483","","","",,""
,"pila",,"",,"",,"Disciseda pila","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXI: 483","","","",,""
,"Septoria",,"",,"",,"","","","","","","","","","","Genus","Peck","",,"Ann. Rep. N. Y. state Mus.,  38: 97 (1885)","","","",,""
,"punicei",,"",,"",,"Septoria punicei","","","","","","","","","","Species","Peck","ICBN",,"Ann. Rep. N. Y. state Mus.,  38: 97 (1885)","","Assumed Valid","",,""
,"Septoria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. addit. vol. I-IV: 348","","","",,""
,"punicei",,"",,"",,"Septoria punicei","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. addit. vol. I-IV: 348","","","",,""
,"Septoria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. X: 371","","","",,""
,"punicei",,"",,"",,"Septoria punicei","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. X: 371","","","",,""
,"Septoria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 701","","","",,""
,"punicei",,"",,"",,"Septoria punicei","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 701","","","",,""
,"Botrytis",,"",,"",,"","","","","","","","","","","Genus","Oudem.","",,"Index Fungorum","","","",,""
,"paeoniae",,"",,"",,"Botrytis paeoniae","","","","","","","","","","Species","Oudem.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Botrytis",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XIV: 1052","","","",,""
,"paeoniae",,"",,"",,"Botrytis paeoniae","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XIV: 1052","","","",,""
,"Botrytis",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XIX: 190","","","",,""
,"paeoniae",,"",,"",,"Botrytis paeoniae","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XIX: 190","","","",,""
,"Botrytis",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXII: 1289","","","",,""
,"paeoniae",,"",,"",,"Botrytis paeoniae","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXII: 1289","","","",,""
,"Sphaerulina",,"",,"",,"","","","","","","","","","","Genus","Starbäck","",,"Index Fungorum","","","",,""
,"constricta",,"",,"",,"Sphaerulina constricta","","","","","","","","","","Species","Starbäck","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Sphaerulina",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XI: 350","","","",,""
,"constricta",,"",,"",,"Sphaerulina constricta","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XI: 350","","","",,""
,"Sphaerulina",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XV: 394","","","",,""
,"constricta",,"",,"",,"Sphaerulina constricta","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XV: 394","","","",,""
,"Sphaeria",,"",,"",,"","","","","","","","","","","Genus","Schwein.","",,"Index Fungorum","","","",,""
,"divergens",,"",,"",,"Sphaeria divergens","","","","","","","","","","Species","Schwein.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Sphaeria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. addit. vol. I-IV: 70","","","",,""
,"divergens",,"",,"",,"Sphaeria divergens","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. addit. vol. I-IV: 70","","","",,""
,"Sphaeria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. IX: 609","","","",,""
,"divergens",,"",,"",,"Sphaeria divergens","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. IX: 609","","","",,""
,"Sphaeria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XV: 354","","","",,""
,"divergens",,"",,"",,"Sphaeria divergens","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XV: 354","","","",,""
,"Tilletia",,"",,"",,"","","","","","","","","","","Genus","Sacc. & Trotter","",,"Index Fungorum","","","",,""
,"sydowii",,"",,"",,"Tilletia sydowii","","","","","","","","","","Species","Sacc. & Trotter","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Tilletia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXI: 519","","","",,""
,"sydowii",,"",,"",,"Tilletia sydowii","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXI: 519","","","",,""
,"Tilletia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXIII: 622","","","",,""
,"sydowii",,"",,"",,"Tilletia sydowii","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXIII: 622","","","",,""
,"Amphisphaeria",,"",,"",,"","","","","","","","","","","Genus","Ellis & Everh.","",,"Index Fungorum","","","",,""
,"aspera",,"",,"",,"Amphisphaeria aspera","","","","","","","","","","Species","Ellis & Everh.","ICBN",,"Index Fungorum","","Assumed Valid","",,""
,"Amphisphaeria",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XVI: 505","","","",,""
,"aspera",,"",,"",,"Amphisphaeria aspera","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XVI: 505","","","",,""
,"Exosporium",,"",,"",,"","","","","","","","","","","Genus","Desm.","",,"Annls Sci. Nat., Bot., sér. 3 11: 364 (1849)","","","",,""
,"depazeoides",,"",,"",,"Exosporium depazeoides","","","","","","","","","","Species","Desm.","ICBN",,"Annls Sci. Nat., Bot., sér. 3 11: 364 (1849)","","Assumed Valid","",,""
,"Exosporium",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. IV: 469","","","",,""
,"depazeoides",,"",,"",,"Exosporium depazeoides","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. IV: 469","","","",,""
,"Exosporium",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XV: 141","","","",,""
,"depazeoides",,"",,"",,"Exosporium depazeoides","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XV: 141","","","",,""
,"Merulius",,"",,"",,"","","","","","","","","","","Genus","Cooke","",,"Grevillea,  19(no. 92): 109 (1891)","","","",,""
,"pelliculosus",,"",,"",,"Merulius pelliculosus","","","","","","","","","","Species","Cooke","ICBN",,"Grevillea,  19(no. 92): 109 (1891)","","Assumed Valid","",,""
,"Merulius",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XI: 104","","","",,""
,"pelliculosus",,"",,"",,"Merulius pelliculosus","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XI: 104","","","",,""
,"Merulius",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XII: 430","","","",,""
,"pelliculosus",,"",,"",,"Merulius pelliculosus","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XII: 430","","","",,""
,"Paulia",,"",,"",,"","","","","","","","","","","Genus","Lloyd","",,"Mycol. Writ.,  5 (1916)","","","",,""
,"resinacea",,"",,"",,"Paulia resinacea","","","","","","","","","","Species","Lloyd","ICBN",,"Mycol. Writ.,  5 (1916)","","Assumed Valid","",,""
,"Paulia",,"",,"",,"","","","","","","","","","","Genus","","",,"Saccardo's Syll. fung. XXIII: 598","","","",,""
,"resinacea",,"",,"",,"Paulia resinacea","","","","","","","","","","Species","","",,"Saccardo's Syll. fung. XXIII: 598","","","",,""
,"Phaeocyphella",,"",,"",,"","","","","","","","","","","Genus","Pat.","",,"Bull. Soc. mycol. Fr.,  9: 135 (1893)","","","",,""
,"farinosa",,"",,"",,"Phaeocyphella farinosa","","","","","","","","","","Species","Pat.","ICBN",,"Bull. Soc. mycol. Fr.,  9: 135 (1893)","","Assumed Valid","",,""
